cancer_type,table_key,table_name_cn,tag_id,tag_name,field_key,annotation_scope,created_at,description,description_source
乳腺癌,ods_br_cancer_drug_chemo_endo,化疗与内分泌药物使用表,2549,免疫治疗史,f_c44a8040,structured,2026-06-09,患者既往免疫治疗使用情况,generated
乳腺癌,ods_br_cancer_drug_chemo_endo,化疗与内分泌药物使用表,742,化疗线数,chemo_line_num,structured,2026-05-08,记录患者接受化疗方案所属的治疗线数，如一线、二线、三线等；不要将化疗周期数、疗程数或用药次数误作化疗线数,generated
乳腺癌,ods_br_cancer_drug_chemo_endo,化疗与内分泌药物使用表,743,司琼类/福沙匹坦止吐,drug_antiemetic_use,structured,2026-05-08,是否使用司琼类或福沙匹坦止吐,generated
乳腺癌,ods_br_cancer_drug_chemo_endo,化疗与内分泌药物使用表,2434,地塞米松片用药天数,地塞米松片用药天数,structured,2026-06-02,地塞米松片的用药持续天数,generated
乳腺癌,ods_br_cancer_drug_chemo_endo,化疗与内分泌药物使用表,2555,新辅助治疗史,f_d8a9f89b,structured,2026-06-09,患者术前新辅助治疗经历,generated
乳腺癌,ods_br_cancer_drug_chemo_endo,化疗与内分泌药物使用表,2547,新辅助治疗日期,f_46224b50,structured,2026-06-09,新辅助治疗的实施日期,generated
乳腺癌,ods_br_cancer_drug_chemo_endo,化疗与内分泌药物使用表,2563,既往治疗线数,f_443cb9b8,structured,2026-06-09,记录患者当前治疗前已接受的系统抗肿瘤治疗线数；不要与化疗周期数或疗程数混淆。,generated
乳腺癌,ods_br_cancer_drug_chemo_endo,化疗与内分泌药物使用表,2558,紫杉类药物暴露,f_d538d6c0,structured,2026-06-09,是否使用过紫杉类药物,generated
乳腺癌,ods_br_cancer_drug_chemo_endo,化疗与内分泌药物使用表,589,累计化疗周期数,chemo_cycle_total,structured,2026-05-08,累计化疗周期数,original
乳腺癌,ods_br_cancer_drug_chemo_endo,化疗与内分泌药物使用表,2557,蒽环类药物暴露,f_4fa35a65,structured,2026-06-09,是否曾使用蒽环类化疗药物,generated
乳腺癌,ods_br_cancer_drug_chemo_endo,化疗与内分泌药物使用表,2562,解救治疗方案,f_f0e222e1,structured,2026-06-09,记录原文明确称为解救治疗、挽救治疗或 salvage therapy 的抗肿瘤治疗方案。,generated
乳腺癌,ods_br_cancer_drug_chemo_endo,化疗与内分泌药物使用表,600,起始化疗日期,chemo_start_date,structured,2026-05-08,起始化疗日期,original
乳腺癌,ods_br_cancer_drug_chemo_endo,化疗与内分泌药物使用表,593,长效升白针使用标志,drug_peg_gcsf_use,structured,2026-05-08,是否使用长效升白针(PEG-G-CSF),original
乳腺癌,ods_br_cancer_drug_chemo_endo,化疗与内分泌药物使用表,2548,靶向治疗方案,f_6d062dae,structured,2026-06-09,记录患者使用的靶向治疗方案,generated
乳腺癌,ods_br_cancer_drug_chemo_endo,化疗与内分泌药物使用表,597,骨保护药给药频率,bone_prot_freq,structured,2026-05-08,骨保护药物的给药频率,generated
乳腺癌,ods_br_cancer_drug_target_adc,靶向与ADC药物使用表,544,是否参加临床试验,clinical_trial_flag,structured,2026-05-08,是否参加临床试验,original
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,2331,DXA结果汇总.区域,DXA结果汇总.区域,structured,2026-06-02,DXA检查结果对应的测量区域,generated
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,723,MRI BI-RADS 分类,mri_birads_class,structured,2026-05-08,MRI乳腺影像BI-RADS分级,generated
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,724,MRI 增强曲线类型,mri_enh_curve,structured,2026-05-08,MRI增强信号变化曲线类型,generated
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,730,PET-CT SUVmax 值,pet_suv_max,structured,2026-05-08,"记录 PET-CT/PET 检查中病灶或关注部位的 SUVmax 数值，保留原文数值",config2_table_value_rule
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,2282,T波,T波,structured,2026-06-02,心电图T波表现,generated
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,465,主要影像检查时间,imaging_exam_date,structured,2026-05-08,主要影像学检查时间,original
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,2384,双肾,双肾,structured,2026-06-02,双侧肾脏的影像学表现,generated
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,2431,右心室内径,右心室内径,structured,2026-06-02,"右心室腔内径测量值。若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,2449,右心房内径,右心房内径,structured,2026-06-02,"右心房内径测量值。若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,2242,合并征象,manual:8a2b77441db7,structured,2026-06-02,指影像学检查中除主要病变外同时观察到的相关伴随表现或继发改变，用于补充判断病变性质、范围及可能并发情况,generated
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,2295,头颅五官,头颅五官,structured,2026-06-02,记录头颅及五官相关影像所见,generated
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,2485,子宫大小,子宫大小,structured,2026-06-02,"影像检查记录的子宫大小。若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,2430,室间隔厚度,室间隔厚度,structured,2026-06-02,"室间隔的测量厚度值。若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,2520,左乳结节垂直径,左乳结节垂直径,structured,2026-06-02,"左乳结节的垂直方向直径。若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,2504,左侧腋窝淋巴结大小,左侧腋窝淋巴结大小,structured,2026-06-02,"左侧腋窝淋巴结的大小记录。若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,2456,左侧锁骨上淋巴结大小,左侧锁骨上淋巴结大小,structured,2026-06-02,"左侧锁骨上淋巴结的大小。若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,454,左室射血分数(LVEF),lvef_percent_val,structured,2026-05-08,"记录超声心动图等检查中的左室射血分数 LVEF，通常为百分比；保留原文数值和 %，不要将左心室内径、心功能分级或其他心脏指标误作 LVEF",config2_table_value_rule
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,2429,左心室内径,左心室内径,structured,2026-06-02,"左心室腔内直径测量值。若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,2428,左心房内径,左心房内径,structured,2026-06-02,"表示左心房内径测量值；若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,2280,影像所见 Image Findings,影像所见 Image Findings,structured,2026-06-02,记录影像报告“所见/Findings”部分的原文观察结果,generated
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,726,影像提示多灶性,multifocal_img_flag,structured,2026-05-08,影像检查提示病灶呈多灶性,generated
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,733,影像提示皮肤增厚,skin_thick_img_flag,structured,2026-05-08,影像检查提示皮肤增厚情况,generated
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,725,影像测量肿瘤最大径,tumor_max_dia_img,structured,2026-05-08,"影像测得的肿瘤最大直径；若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,455,校正 QT 间期(QTc),ecg_qtc_interval,structured,2026-05-08,"心电图校正QT间期(QTc)；单位：ms；若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,2305,检查部位及技术,检查部位及技术,structured,2026-06-02,影像检查的部位及所用技术,generated
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,2490,淋巴结短径,淋巴结短径,structured,2026-06-02,"淋巴结短轴直径大小；若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,2249,特殊检查,特殊检查,structured,2026-06-02,记录原文明确提到的特殊影像检查或特殊技术名称,generated
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,732,综合影像 BI-RADS,img_birads_final,structured,2026-05-08,综合影像的BI-RADS评估分级,generated
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,2524,肿瘤前后径,肿瘤前后径,structured,2026-06-02,"肿瘤前后方向的测量直径。若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,2414,肿瘤垂直径,肿瘤垂直径,structured,2026-06-02,"肿瘤上下方向的直径大小。若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,2271,胸部,胸部,structured,2026-06-02,记录胸部影像相关所见，如肺、胸膜、纵隔等表现,generated
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,727,胸部 CT 肺结节情况,chest_ct_nodule,structured,2026-05-08,胸部CT显示的肺结节情况,generated
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,2245,腋窝淋巴结最大径,manual:16d636fc62fe,structured,2026-06-02,"腋窝淋巴结的最大测量直径。若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,2385,膀胱,膀胱,structured,2026-06-02,影像检查中膀胱相关表现,generated
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,721,超声 BI-RADS 分类,us_birads_class,structured,2026-05-08,超声检查中的乳腺BI-RADS分级,generated
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,445,超声回声类型,us_echo_pattern,structured,2026-05-08,超声回声类型,original
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,446,超声方位/生长方向,us_orient_flag,structured,2026-05-08,超声所示病灶方位或生长方向,generated
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,722,超声血流信号分级,us_bf_signal,structured,2026-05-08,超声检查中血流信号的分级,generated
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,718,钼靶 BI-RADS 分类,mammo_birads_class,structured,2026-05-08,钼靶检查的BI-RADS评估分类,generated
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,719,钼靶：微小钙化描述,mammo_calc_type,structured,2026-05-08,钼靶检查中微小钙化的描述,generated
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,720,钼靶：结构扭曲,mammo_arch_distort,structured,2026-05-08,钼靶检查中乳腺结构扭曲情况,generated
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,2481,门静脉主干内径,门静脉主干内径,structured,2026-06-02,"门静脉主干的内径大小。若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_imaging_exam,影像学检查明细表,2250,项目所见,项目所见,structured,2026-06-02,仅当原文明确存在“项目所见”字段时，记录该字段对应的原文所见内容；不要抽取影像所见、检查所见、诊断意见或其他无“项目所见”字段名对应的正文内容,generated
乳腺癌,ods_br_cancer_metastasis_atomic,肿瘤侵犯与转移部位表,417,乳头/乳晕受累,nipple_involve_flag,structured,2026-05-08,乳头或乳晕是否受累，不要把其它不相关的乳头或乳晕信息放在这里,generated
乳腺癌,ods_br_cancer_metastasis_atomic,肿瘤侵犯与转移部位表,421,内乳淋巴结状态,int_mammary_ln,structured,2026-05-08,内乳淋巴结受累情况,generated
乳腺癌,ods_br_cancer_metastasis_atomic,肿瘤侵犯与转移部位表,2319,肛门生殖器,肛门生殖器,structured,2026-06-02,记录原文明确提示肛门或生殖器部位受侵、受累或转移的情况,generated
乳腺癌,ods_br_cancer_metastasis_atomic,肿瘤侵犯与转移部位表,427,肝转移判定,liver_met_presence,structured,2026-05-08,肝转移判定,original
乳腺癌,ods_br_cancer_metastasis_atomic,肿瘤侵犯与转移部位表,434,肾上腺转移判定,adrenal_met_pres,structured,2026-05-08,是否存在肾上腺转移判定,generated
乳腺癌,ods_br_cancer_metastasis_atomic,肿瘤侵犯与转移部位表,2261,腹部,腹部,structured,2026-06-02,记录原文明确提示腹部、腹腔或腹部脏器受侵、受累或转移的情况,generated
乳腺癌,ods_br_cancer_metastasis_atomic,肿瘤侵犯与转移部位表,422,锁骨上淋巴结状态,supraclavicular_ln,structured,2026-05-08,表示锁骨上淋巴结受累情况,generated
乳腺癌,ods_br_cancer_metastasis_atomic,肿瘤侵犯与转移部位表,423,锁骨下淋巴结状态,subclavian_ln,structured,2026-05-08,锁骨下淋巴结受累情况,generated
乳腺癌,ods_br_cancer_metastasis_atomic,肿瘤侵犯与转移部位表,2265,颈部,颈部,structured,2026-06-02,记录原文明确提示颈部或颈部淋巴结受侵、受累或转移的情况,generated
乳腺癌,ods_br_cancer_metastasis_atomic,肿瘤侵犯与转移部位表,424,骨转移判定,bone_met_presence,structured,2026-05-08,骨转移判定；包括全身骨骼任何部位的转移,original
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,2561,BRCA基因检测,brca,structured,2026-06-09,"BRCA基因检测结果或状态；若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,2508,CD117,CD117,structured,2026-06-02,"CD117免疫组化表达结果；若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,2332,CEP17染色体信号数,CEP17染色体信号数,structured,2026-06-02,"CEP17染色体信号的检测数量；若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,379,CK5/6状态,ck5_6_status,structured,2026-05-08,"CK5/6状态；若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,2406,CK7,CK7,structured,2026-06-02,"细胞角蛋白7的表达情况；若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,382,E-Cadherin状态,e_cadherin_status,structured,2026-05-08,E-Cadherin状态,original
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,381,EGFR状态,egfr_status,structured,2026-05-08,EGFR状态,original
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,351,ER(雌激素受体)判定,er_status,structured,2026-05-08,ER(雌激素受体)判定；标准：≥1%为阳性,original
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,352,ER表达百分比,er_percent,structured,2026-05-08,"ER表达百分比数值。若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,357,HER2 IHC评分,her2_ihc_score,structured,2026-05-08,"HER2免疫组化评分。若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,358,HER2 ISH/FISH状态,her2_ish_status,structured,2026-05-08,HER2 ISH/FISH状态,original
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,359,HER2/CEP17比值,her2_ratio,structured,2026-05-08,"HER2/CEP17比值数值。若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,361,HER2低表达判定,her2_low_exp_flag,structured,2026-05-08,HER2低表达判定；判定：IHC 1+或IHC 2+/ISH-为是,original
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,706,HER2平均拷贝数,her2_copy_number,structured,2026-05-08,"HER2基因平均拷贝数量。若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,363,Ki-67增殖指数,ki67_index,structured,2026-05-08,"Ki-67增殖指数百分比。若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,383,p120染色定位,p120_localization,structured,2026-05-08,p120染色定位,original
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,385,p53蛋白表达状态,p53_status,structured,2026-05-08,p53蛋白表达状态,original
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,380,p63染色状态,p63_status,structured,2026-05-08,p63染色(鉴别肌上皮用),original
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,2543,PD-L1 CPS 评分,pd_l1_cps,structured,2026-06-09,"PD-L1综合阳性评分结果；若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,354,PR(孕激素受体)判定,pr_status,structured,2026-05-08,PR(孕激素受体)判定；标准：≥1%为阳性,original
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,355,PR表达百分比,pr_percent,structured,2026-05-08,"PR表达百分比数值；若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,2459,SOX10状态,SOX10状态,structured,2026-06-02,SOX10蛋白表达状态,generated
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,2407,Syn,Syn,structured,2026-06-02,突触素免疫组化表达情况,generated
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,367,TILs比例,tils_percent,structured,2026-05-08,"TILs(肿瘤浸润淋巴细胞)比例百分比；若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,2397,WHO分级,WHO分级,structured,2026-06-02,病理诊断中的WHO分级结果,generated
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,2403,α-SMA,α-SMA,structured,2026-06-02,"α-SMA的表达情况。若该值出现在原图表格中，value 按该行所在表格的列名原文返回对象，key 顺序按表头从左到右；不要改写成固定字段名。若该值出现在文本段落中，value 返回 {""数值"": null, ""单位"": null}，只填写原文明确出现的信息，缺失写 null。",config2_table_value_rule
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,2330,下切缘,下切缘,structured,2026-06-02,标本下切缘受累情况,generated
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,2283,光镜所见,光镜所见,structured,2026-06-02,光镜下观察到的病理形态特征,generated
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,2299,基底,基底,structured,2026-06-02,病变或组织的基底部位信息,generated
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,377,多灶性判定,multifocal_flag,structured,2026-05-08,多灶性判定,original
乳腺癌,ods_br_cancer_pathology_detail,病理诊断与分子指标表,347,活检/手术部位,biopsy_site,structured,2026-05-08,活检/手术部位,original
